msisdn,activation_date,nik_kk_status,registered_imei
082279616587,2023-02-19,Valid,
085211232220,2023-01-08,Valid,350000000958927
082147270412,2023-04-19,Valid,
081143030880,2023-10-05,Valid,
085289775958,2023-03-20,Valid,350000000049259
085250997309,2023-02-03,Valid,
085230900539,2023-02-28,Valid,350000000745353
082250294746,2023-04-06,Valid,
082125436265,2023-04-27,Valid,
082181198805,2023-10-19,Valid,350000000144704
081243641486,2023-01-31,Valid,350000000362865
081173146315,2023-04-19,Valid,350000000842324
085238419176,2023-09-11,nan,
081283286914,2023-08-22,Valid,350000000288146
081234265436,2023-06-15,Valid,
082230718447,2023-03-26,Valid,
082125432968,2023-07-09,Valid,350000000723352
082241303307,2023-06-21,Valid,
082238600229,2023-10-19,Valid,350000000570315
081221743638,2023-10-21,Valid,350000000040779
082249574666,2023-09-17,Valid,
085287004274,2023-02-09,Valid,350000000181583
082249993497,2023-04-22,Valid,
082217323573,2023-07-27,nan,
081237193661,2023-09-05,Valid,
082224325630,2023-10-27,Valid,350000000335592
081222010748,2023-06-05,Valid,350000000108192
081183726952,2023-03-31,Valid,350000000150656
081113467584,2023-04-03,Valid,
081261484307,2023-09-01,Valid,350000000848648
082169695002,2023-08-15,Valid,
081190580722,2023-07-09,Valid,
082238301174,2023-10-12,Valid,
081232705650,2023-10-09,Valid,
081226265386,2023-01-31,Valid,350000000465632
085271916584,2023-04-02,Valid,
082298412358,2023-05-17,Valid,
085285716785,2023-03-12,nan,
082216199887,2023-05-08,Valid,
082117205279,2023-09-12,nan,350000000889972
081224685794,2023-04-11,Valid,
081221869524,2023-08-16,nan,
082197077939,2023-01-09,Valid,350000000235141
082118433264,2023-02-08,Valid,
081170416507,2023-03-26,Valid,
082246076982,2023-05-31,nan,350000000624963
085288584872,2023-08-01,Valid,
081241008522,2023-04-20,Valid,
081289755654,2023-10-21,Valid,350000000074602
082280352253,2023-06-21,Valid,
082155613054,2023-10-21,nan,
081144799092,2023-09-29,Valid,350000000996339
081122029819,2023-08-08,Valid,
081157549507,2023-10-20,Valid,
085221325743,2023-05-25,nan,350000000194560
085288404268,2023-08-07,Valid,
082193483211,2023-08-06,Valid,
081279648398,2023-08-12,Valid,
082219763461,2023-04-26,Valid,350000000898504
085228571323,2023-08-06,Valid,
085277324647,2023-09-12,Valid,
082118242093,2023-06-02,Valid,
081265290708,2023-04-11,Valid,
082298203475,2023-05-14,Valid,350000000794236
081271366307,2023-09-09,Valid,350000000670646
081129879849,2023-10-14,Valid,350000000296423
082163434871,2023-04-09,Valid,
082152044054,2023-08-18,Valid,
082279537935,2023-09-20,Valid,
085275705765,2023-02-13,Valid,350000000656036
085297364454,2023-02-14,Valid,
082263755491,2023-09-26,Valid,
081131114304,2023-07-11,Valid,350000000321839
081236122980,2023-02-14,Valid,
081130691724,2023-09-19,Valid,350000000940179
081240498325,2023-01-28,Valid,
082115781944,2023-04-02,Valid,
082293925022,2023-08-31,Valid,
081246318184,2023-04-12,Valid,
082227473449,2023-08-12,Valid,350000000889971
081267677468,2023-03-09,Valid,350000000687431
081282973320,2023-05-31,Valid,350000000178294
081296860759,2023-04-24,Valid,
081235962643,2023-05-14,Valid,
082170705465,2023-04-28,Valid,
082225714204,2023-05-09,Valid,350000000560407
081145146271,2023-04-02,nan,
082228127967,2023-08-21,Valid,350000000982093
082264485914,2023-01-17,Valid,
082111060690,2023-03-05,Valid,
082297816679,2023-10-01,Valid,
082154301990,2023-01-10,Valid,
081128825660,2023-09-02,nan,350000000707155
082245314104,2023-09-10,Valid,
081182255681,2023-10-25,Valid,
082172495018,2023-05-14,Valid,
085298691635,2023-01-04,Valid,
082272203149,2023-07-17,Valid,
082185635003,2023-08-21,Valid,
081192395938,2023-03-05,Valid,
085274925786,2023-05-06,Valid,
082250701313,2023-02-14,Valid,
082175953850,2023-06-17,Valid,350000000999327
082134440764,2023-09-01,Valid,350000000116544
081288094448,2023-03-03,Valid,
082289146571,2023-07-19,nan,
081195332598,2023-05-24,Valid,350000000618539
081136700322,2023-03-07,Valid,
081163010305,2023-02-22,Valid,
082167379157,2023-09-19,Valid,
085237788003,2023-06-21,Valid,350000000879908
081166243860,2023-07-18,Valid,
082279218145,2023-04-01,nan,350000000347549
082270240569,2023-01-30,Valid,
082298561692,2023-10-08,Valid,
081164339711,2023-05-16,Valid,
081233724383,2023-07-21,Valid,
082160954797,2023-05-20,nan,350000000166899
085291790272,2023-04-06,nan,350000000245977
085297441487,2023-04-28,Valid,
082216026007,2023-09-18,Valid,
081117272647,2023-03-23,Valid,350000000955187
081220528805,2023-08-22,Valid,350000000929336
085292937023,2023-01-22,Valid,350000000724661
081276228298,2023-06-04,nan,
085296781880,2023-08-24,Valid,
082178731469,2023-04-19,Valid,350000000388731
081192427031,2023-09-11,Valid,
082131107864,2023-07-18,Valid,
081126884252,2023-10-05,Valid,
081283268784,2023-07-01,Valid,
085280101749,2023-09-18,Valid,350000000572863
085270784195,2023-10-20,nan,
081182842285,2023-05-07,Valid,350000000755756
085261228492,2023-01-01,Valid,
081157872168,2023-06-17,Valid,350000000498240
085276127938,2023-03-18,nan,
085265373050,2023-09-21,Valid,
085296769487,2023-09-17,Valid,
081212194041,2023-04-12,Valid,350000000904721
085228160592,2023-04-03,Valid,
081215084635,2023-02-10,Valid,
081133629232,2023-10-26,Valid,
081125243543,2023-07-23,nan,350000000212315
085274771594,2023-05-15,Valid,
082158299830,2023-02-08,Valid,
081132618112,2023-03-26,Valid,
082147920053,2023-06-20,Valid,
082151928220,2023-01-16,Valid,350000000233520
081123236509,2023-03-23,Valid,
082235570995,2023-02-07,Valid,
081194519954,2023-02-23,Valid,
085243344075,2023-02-02,Valid,350000000521020
085288418788,2023-08-30,Valid,350000000191016
082269077074,2023-10-07,Valid,
085265925384,2023-04-20,Valid,350000000307229
082155022623,2023-06-13,Valid,350000000360405
085227974476,2023-09-18,Valid,350000000133996
082191258367,2023-04-03,Valid,
085221159361,2023-10-25,nan,
082151593782,2023-02-06,Valid,
085270259953,2023-10-17,Valid,
082128313604,2023-07-09,Valid,
085271112272,2023-06-22,Valid,
082188907528,2023-04-23,Valid,350000000174777
081243377835,2023-05-18,nan,
085261323799,2023-04-23,Valid,350000000076508
082157126251,2023-09-22,Valid,
082247489067,2023-02-12,Valid,
082140076088,2023-01-05,Valid,
082231382423,2023-06-10,Valid,
081126977290,2023-10-26,nan,
081118474292,2023-08-25,Valid,350000000379497
081277266521,2023-01-10,Valid,
082117320122,2023-08-20,Valid,
082288047811,2023-04-11,nan,350000000738472
085222401238,2023-09-08,Valid,
082230240645,2023-05-20,Valid,
081294532000,2023-05-17,Valid,
081228581020,2023-10-02,Valid,
081170503202,2023-07-29,Valid,
085240636895,2023-01-07,Valid,
082287292961,2023-10-11,Valid,350000000770745
085283415914,2023-05-06,Valid,
085224714474,2023-03-07,Valid,350000000075952
082176376144,2023-01-29,Valid,
085220137442,2023-02-15,Valid,350000000967372
082229091404,2023-10-16,Valid,
081262487922,2023-03-06,Valid,350000000511067
082265647059,2023-01-14,Valid,350000000154727
085260161526,2023-05-31,Valid,
081114981722,2023-10-03,Valid,350000000276540
082249404752,2023-02-05,Valid,350000000113595
082181308822,2023-07-07,Valid,350000000803487
082141535875,2023-01-29,Valid,
085250304679,2023-02-16,Valid,
085279281769,2023-05-09,Valid,
085227722347,2023-09-21,Valid,350000000043083
082128944833,2023-09-09,Valid,
081274641908,2023-04-02,Valid,
081169565267,2023-10-24,Valid,
081158103805,2023-06-26,Valid,
081273751558,2023-05-19,nan,
081156007817,2023-01-19,Valid,350000000589409
081112240815,2023-03-02,Valid,
081213220319,2023-10-01,nan,
082255317749,2023-04-29,Valid,
081228506933,2023-09-11,Valid,
085280226172,2023-09-03,Valid,350000000776013
081152062442,2023-03-18,nan,
082285156747,2023-09-18,Valid,
085293002045,2023-10-23,Valid,
082158120427,2023-07-26,Valid,350000000985502
081138537679,2023-02-14,Valid,
081285367134,2023-03-24,Valid,
082240596846,2023-04-03,Valid,
082134516401,2023-09-16,Valid,
085266565751,2023-02-16,Valid,
081275497366,2023-05-12,Valid,
081169842079,2023-01-03,Valid,
085260987020,2023-02-28,Valid,
085218753036,2023-07-17,Valid,
081178300917,2023-02-15,nan,
081287733948,2023-06-25,nan,350000000887728
081156160729,2023-08-20,Valid,
085232547149,2023-07-19,Valid,
085257615312,2023-08-01,Valid,
082145234586,2023-10-24,Valid,
081145675835,2023-04-30,Valid,
081254372253,2023-04-06,Valid,
082170585430,2023-09-30,Valid,
081275111300,2023-05-07,Valid,
081134829460,2023-10-27,Valid,350000000259110
085287410768,2023-02-10,Valid,
085275496737,2023-09-28,Valid,
082263922597,2023-04-30,Valid,
082275772232,2023-06-22,Valid,
082173184089,2023-01-22,Valid,350000000254700
082182515557,2023-08-26,Valid,
082294361301,2023-10-07,Valid,
082256245777,2023-02-16,Valid,
082268944099,2023-09-24,Valid,350000000402926
082194031665,2023-08-10,nan,
081248294277,2023-04-19,Valid,350000000762198
082179041955,2023-05-28,Valid,350000000576090
085221758321,2023-02-13,Valid,
082130311357,2023-09-11,Valid,350000000863791
085248068843,2023-10-08,nan,
085252935516,2023-03-12,Valid,
082254642590,2023-01-11,nan,350000000647106
081212261280,2023-05-15,Valid,350000000746193
085274035326,2023-03-28,Valid,
082111386302,2023-01-04,Valid,350000000615359
085213064466,2023-06-17,Valid,350000000342060
081197926019,2023-05-09,nan,350000000014970
081142622429,2023-09-28,nan,350000000291534
081232802524,2023-04-12,Valid,
081173885444,2023-07-09,Valid,350000000871678
082145169218,2023-10-26,Valid,350000000328646
081166821534,2023-02-07,Valid,
082174286569,2023-09-13,Valid,350000000165472
085250732724,2023-09-12,Valid,350000000250803
082261035177,2023-02-14,Valid,
081121168779,2023-10-10,Valid,350000000837670
081186853396,2023-01-02,Valid,350000000356789
081257015790,2023-08-11,Valid,350000000584994
081116590793,2023-01-14,Valid,
082141898167,2023-06-15,Valid,
085242748013,2023-09-20,Valid,
082191992467,2023-08-03,Valid,350000000315626
082165118417,2023-04-24,Valid,
081247089971,2023-04-07,Valid,
081235927821,2023-05-07,Valid,
082268767050,2023-09-03,Valid,
081231880092,2023-07-13,Valid,
085219535832,2023-08-01,Valid,
085249398498,2023-09-17,nan,
085263526590,2023-06-24,Valid,
081177561057,2023-07-20,Valid,
081130463607,2023-07-22,nan,350000000126624
082219570833,2023-10-05,Valid,350000000875684
085256053132,2023-01-08,Valid,
082110040904,2023-02-17,Valid,350000000293582
082177006925,2023-08-01,Valid,
082238062050,2023-04-01,Valid,350000000191521
085218605429,2023-04-20,Valid,350000000083969
081173669179,2023-04-30,Valid,350000000849754
081252448200,2023-02-02,Valid,350000000514348
081240148789,2023-10-10,nan,350000000021112
082128729188,2023-05-17,Valid,
081232420103,2023-02-12,Valid,
081212231089,2023-09-26,Valid,
085294087211,2023-07-10,Valid,
081138111851,2023-01-02,nan,
085263402909,2023-06-15,nan,
082145771515,2023-09-07,Valid,350000000682682
082271965666,2023-08-18,Valid,350000000898792
081217336945,2023-02-08,Valid,
082185163463,2023-05-06,Valid,
081222802190,2023-04-21,Valid,
082259947888,2023-04-22,Valid,
081296781887,2023-05-28,Valid,350000000954691
081257702111,2023-08-26,Valid,
081187339416,2023-06-02,Valid,
082181333813,2023-02-25,nan,
082143301567,2023-09-03,nan,350000000763052
082193154972,2023-08-25,Valid,350000000949275
081286554021,2023-10-19,Valid,350000000975786
085278468564,2023-08-29,Valid,
081110628432,2023-06-21,Valid,
082159738010,2023-03-19,Valid,
082127904680,2023-01-03,nan,
081267262084,2023-09-19,Valid,350000000550391
082164307339,2023-07-19,nan,
081148608331,2023-09-13,Valid,
082268439468,2023-01-19,Valid,
081256504872,2023-03-01,Valid,
081194743918,2023-08-01,Valid,
081222125797,2023-09-21,Valid,
082176906181,2023-02-17,Valid,
082288474222,2023-05-24,Valid,
081269440260,2023-08-04,Valid,
081256294095,2023-04-06,Valid,350000000903821
081154904599,2023-05-25,Valid,
081268929401,2023-01-12,Valid,
085229709032,2023-09-12,nan,
081237019220,2023-05-29,Valid,
081196398594,2023-07-17,nan,350000000786255
082141342718,2023-09-19,Valid,350000000204175
081141793594,2023-06-15,nan,350000000744953
082244866972,2023-07-25,Valid,
081199877139,2023-10-17,nan,
085282799898,2023-01-21,Valid,350000000698225
081234604421,2023-02-18,Valid,350000000449806
081156606366,2023-06-03,Valid,350000000917464
081279128318,2023-01-05,Valid,
081213840220,2023-05-18,Valid,350000000155963
081140085147,2023-06-17,Valid,
081259651011,2023-08-25,Valid,
081264485420,2023-10-11,Valid,350000000759337
081177431948,2023-03-18,Valid,
082184508000,2023-04-28,Valid,
081126268808,2023-10-10,Valid,
082217147226,2023-09-20,Valid,350000000336960
085282298147,2023-09-02,nan,
085290184607,2023-08-08,Valid,
082124517129,2023-07-22,Valid,
082163759776,2023-10-22,Valid,
085232909313,2023-07-05,Valid,
081251162109,2023-08-01,Valid,
081240411466,2023-02-14,nan,350000000321559
081255454435,2023-05-23,Valid,350000000524499
085235218377,2023-01-26,Valid,350000000270967
085234532832,2023-03-15,Valid,
082110327160,2023-08-19,Valid,
085226540103,2023-01-31,nan,
082125484169,2023-03-06,Valid,
081163478481,2023-06-30,Valid,350000000964528
081293491398,2023-09-08,Valid,
082231798195,2023-05-04,Valid,350000000424264
082250067191,2023-07-11,Valid,
085243446558,2023-01-23,Valid,
082277104724,2023-04-10,Valid,350000000020739
081215137300,2023-02-28,Valid,
082252404980,2023-05-24,Valid,350000000260018
081112448665,2023-07-31,Valid,350000000257254
081242009484,2023-05-27,Valid,350000000956764
085227349159,2023-10-05,nan,
082140466787,2023-03-31,Valid,
082156378162,2023-07-01,Valid,
081171088197,2023-10-04,Valid,350000000095937
082279505725,2023-01-02,Valid,
081118019471,2023-06-03,Valid,
082146919708,2023-07-25,Valid,350000000472888
082161547437,2023-05-24,Valid,
082148524212,2023-08-04,Valid,
082176265078,2023-01-13,Valid,
082170516839,2023-06-23,Valid,
082158475029,2023-04-09,Valid,
082145294435,2023-05-01,Valid,
082197017452,2023-09-06,Valid,
081244670265,2023-04-17,Valid,
081235279991,2023-05-17,Valid,
081117926495,2023-04-12,Valid,
082111419095,2023-04-28,Valid,
081131960821,2023-09-10,Valid,350000000521567
081167919122,2023-01-29,Valid,
085214875726,2023-09-30,Valid,350000000691214
081257823622,2023-07-21,Valid,
081290672680,2023-01-29,Valid,350000000489232
082190515588,2023-08-06,Valid,
085220960650,2023-03-25,Valid,
082198144301,2023-07-02,Valid,
082244160922,2023-05-13,Valid,
082249914850,2023-10-25,Valid,350000000163858
082246252827,2023-01-13,Valid,350000000022710
082118255660,2023-05-02,Valid,
082130145059,2023-07-04,nan,350000000025606
081231321918,2023-03-28,Valid,
082274316648,2023-09-23,Valid,350000000928829
082193905502,2023-05-09,Valid,
081283218843,2023-08-09,Valid,
085239960854,2023-07-05,Valid,
085269939447,2023-01-07,Valid,
082244208327,2023-07-10,Valid,
085235791358,2023-02-08,Valid,
082141729809,2023-05-06,Valid,
082248382530,2023-10-04,Valid,350000000984711
085222349549,2023-01-15,nan,350000000780171
082243882301,2023-03-19,Valid,
081221608707,2023-05-30,Valid,
081270695512,2023-08-27,Valid,
082249751268,2023-01-04,Valid,
082261221635,2023-08-12,Valid,
081267288713,2023-06-24,Valid,
081190338889,2023-01-24,Valid,350000000264349
082268266246,2023-01-30,Valid,
081289995221,2023-06-26,Valid,
082276639172,2023-03-08,Valid,
082239648502,2023-04-10,nan,
082171027333,2023-09-11,Valid,
081226310796,2023-03-29,nan,
081186402228,2023-07-08,nan,
081128415154,2023-03-12,Valid,
082169300121,2023-05-16,Valid,
081239296702,2023-07-18,Valid,
085248988609,2023-08-03,nan,
082191744271,2023-05-03,Valid,
082113984959,2023-06-21,Valid,
085223603720,2023-08-01,Valid,
082249782201,2023-04-07,Valid,
085278443810,2023-04-11,Valid,350000000521264
081230238061,2023-05-07,nan,
081110601888,2023-05-29,Valid,
081119976525,2023-02-22,nan,
081124041209,2023-10-21,Valid,
082231352950,2023-08-23,Valid,350000000958390
082299993327,2023-09-14,nan,
085263380297,2023-05-27,Valid,
082172411372,2023-07-04,Valid,
082261856158,2023-04-30,Valid,
081193914404,2023-09-22,Valid,
082131628716,2023-06-18,Valid,
081120942918,2023-03-05,Valid,350000000836353
081126868826,2023-04-18,Valid,
085238161965,2023-08-24,nan,
081276149820,2023-09-07,Valid,
081195763316,2023-04-09,Valid,
081227410879,2023-06-01,Valid,
082271096100,2023-10-16,Valid,
081246349875,2023-03-12,Valid,350000000705958
081195438754,2023-07-30,Valid,350000000843320
082268109291,2023-07-13,Valid,
082269258782,2023-04-25,Valid,
082257962264,2023-03-07,Valid,
081250117160,2023-02-12,Valid,350000000158940
081280515574,2023-05-24,Valid,
082281453323,2023-10-17,Valid,
081147718468,2023-07-01,Valid,
081276355613,2023-04-22,Valid,350000000144380
081247292181,2023-02-24,Valid,350000000541967
085274394672,2023-03-08,Valid,350000000628803
085222887773,2023-04-13,Valid,
082180342326,2023-02-16,Valid,350000000875871
085255661385,2023-08-24,Valid,
081294292145,2023-08-14,Valid,350000000249377
081217102778,2023-05-03,nan,
082242460457,2023-07-09,Valid,350000000488032
085255677818,2023-07-27,Valid,350000000533188
081228886985,2023-04-27,Valid,
085293963902,2023-10-22,Valid,
082270547819,2023-01-20,Valid,
082264318056,2023-03-20,Valid,350000000994318
082251565898,2023-08-30,Valid,350000000680486
081172860713,2023-07-24,Valid,
085295414648,2023-06-12,Valid,
081213175429,2023-04-20,Valid,
081249319765,2023-08-26,nan,
082232068972,2023-01-19,Valid,
082195247294,2023-10-24,Valid,
081257342432,2023-05-21,Valid,350000000198358
082122671972,2023-10-24,Valid,
085214130119,2023-08-20,Valid,350000000820770
081167984722,2023-04-18,Valid,350000000993304
081126283072,2023-06-20,Valid,
082133383083,2023-07-19,nan,
085244706743,2023-04-11,Valid,
081160272783,2023-06-23,Valid,
085243787366,2023-04-05,nan,
082261539435,2023-01-02,Valid,
082171325091,2023-02-13,Valid,
081239157653,2023-09-04,Valid,
082244966801,2023-06-20,Valid,
082151114209,2023-02-07,Valid,
081250643161,2023-06-29,Valid,350000000928695
085291373852,2023-10-08,Valid,350000000856279
081177162463,2023-01-21,Valid,
081153067947,2023-03-18,Valid,
081127469831,2023-01-24,Valid,
082171192269,2023-08-28,Valid,
082254783092,2023-10-01,nan,
081219798123,2023-04-18,Valid,
081164449716,2023-01-18,nan,
082211397806,2023-10-18,Valid,
082146604748,2023-01-19,Valid,350000000261164
082138484695,2023-07-20,Valid,
082173541165,2023-04-26,Valid,
081152242640,2023-04-05,Valid,350000000818870
085260812590,2023-02-12,Valid,
085299371947,2023-09-06,Valid,
082151226411,2023-03-28,Valid,
081128668230,2023-05-22,Valid,
082160439657,2023-05-31,Valid,350000000800174
082185308659,2023-10-24,Valid,
081232227809,2023-09-05,Valid,
081122453045,2023-02-04,Valid,
085256439287,2023-04-14,Valid,
081254587920,2023-02-27,Valid,
082296308028,2023-10-04,Valid,
082282040059,2023-07-27,Valid,
082224308247,2023-07-16,Valid,
082248936055,2023-01-05,nan,350000000936040
085210328254,2023-03-27,Valid,
081158139622,2023-01-31,Valid,350000000286642
081151035101,2023-09-11,Valid,
082115212071,2023-10-26,nan,350000000463678
082112435420,2023-09-27,Valid,
085223529550,2023-02-26,Valid,350000000487278
081239530891,2023-06-01,Valid,
082265130400,2023-06-10,Valid,350000000709812
081168616416,2023-07-18,Valid,
081181576796,2023-02-14,Valid,
082114731874,2023-04-18,Valid,
081256223829,2023-08-27,Valid,
085290084280,2023-06-30,nan,350000000299966
081297504401,2023-07-01,Valid,
085220966869,2023-08-19,Valid,
081257291029,2023-08-08,Valid,
082217740374,2023-04-04,Valid,
081217344988,2023-03-29,Valid,
081184518429,2023-04-14,nan,350000000071269
082262661326,2023-02-25,Valid,350000000069049
081260184245,2023-01-09,Valid,
082224070781,2023-03-08,Valid,
085250977507,2023-01-08,Valid,
082193114711,2023-02-09,nan,350000000034363
082234982329,2023-02-06,nan,350000000055656
082261620390,2023-07-30,Valid,350000000310587
082292296230,2023-08-12,Valid,
081143591871,2023-02-18,Valid,
085288790981,2023-03-29,Valid,350000000489995
081175407235,2023-03-06,Valid,350000000592569
082299988805,2023-10-03,Valid,
082289492101,2023-09-06,nan,350000000075063
081224013308,2023-06-13,Valid,
081129024600,2023-10-16,Valid,
082286451723,2023-03-23,Valid,
081163085011,2023-06-25,nan,
082283488120,2023-10-08,Valid,
082196430968,2023-06-04,Valid,
082237301144,2023-06-12,Valid,350000000821945
082186447768,2023-08-01,Valid,
081222974465,2023-01-17,Valid,
081214411365,2023-07-03,Valid,350000000585847
082276813765,2023-03-19,Valid,
085262701853,2023-05-13,Valid,
082287687146,2023-04-27,nan,
081144501998,2023-08-15,Valid,
081258014867,2023-02-25,nan,350000000818898
082182727091,2023-10-20,Valid,350000000352123
082191525951,2023-02-21,Valid,
085269912363,2023-08-10,Valid,
082284709713,2023-01-29,Valid,
082132202346,2023-05-03,Valid,
081151568053,2023-02-24,Valid,
081113496762,2023-08-24,Valid,350000000790565
081210598724,2023-02-06,Valid,
081128663109,2023-10-20,Valid,
085221078205,2023-08-28,nan,
085290701210,2023-10-22,Valid,350000000077332
082176185860,2023-01-24,nan,
082195524770,2023-06-17,Valid,
082234546466,2023-02-14,Valid,
082169135102,2023-05-03,nan,
082235722698,2023-05-01,Valid,
082125576219,2023-05-22,Valid,
081135018318,2023-08-09,Valid,
085231330952,2023-06-22,Valid,
085252520274,2023-03-18,Valid,
082260859549,2023-01-08,Valid,350000000178930
085225525781,2023-08-03,Valid,
081241850911,2023-09-14,nan,350000000194390
081217412973,2023-06-04,Valid,
081184657231,2023-10-16,nan,350000000128282
082133189886,2023-01-07,Valid,
085294591847,2023-10-12,Valid,
081261791553,2023-04-04,nan,
082285090999,2023-04-30,Valid,350000000129885
082184108108,2023-01-06,Valid,
082148035057,2023-08-08,Valid,
082285307409,2023-02-09,Valid,
081284781761,2023-04-26,Valid,
082177150542,2023-01-13,Valid,350000000781582
081248568085,2023-04-14,nan,
081230121228,2023-05-19,Valid,
085239925083,2023-08-17,Valid,
081275660011,2023-01-29,Valid,350000000796889
081149342220,2023-03-17,Valid,
081225478767,2023-02-09,nan,350000000915090
085297132425,2023-03-08,Valid,350000000407545
081195317363,2023-02-19,Valid,
082247696801,2023-02-28,Valid,
082233769380,2023-07-11,Valid,
081181379921,2023-05-11,Valid,
081152145541,2023-06-04,Valid,350000000883743
081149503389,2023-02-08,Valid,350000000394355
081116200042,2023-05-31,Valid,
082122252531,2023-04-27,nan,
081195593491,2023-08-26,Valid,
085299387119,2023-07-14,Valid,
082288592616,2023-07-20,Valid,
082228092217,2023-07-16,Valid,350000000295152
085287670785,2023-09-13,Valid,
082160322771,2023-02-20,Valid,
081213279636,2023-04-16,Valid,350000000738337
085289124313,2023-06-14,Valid,350000000188848
081288999236,2023-08-02,Valid,
082215062259,2023-03-27,Valid,
082174818977,2023-03-15,Valid,350000000201052
081170655673,2023-03-31,Valid,
081252674788,2023-06-30,Valid,
085216349483,2023-10-10,Valid,
082193370107,2023-07-09,Valid,
081123129520,2023-06-23,Valid,
081242125138,2023-02-17,Valid,350000000615436
082223893536,2023-01-28,Valid,350000000047852
082152011649,2023-07-09,nan,
081164711960,2023-04-21,Valid,
082277853727,2023-05-30,Valid,350000000574481
085259298794,2023-04-29,Valid,350000000515218
085269614769,2023-04-06,nan,350000000388738
081183755482,2023-08-14,Valid,
082130332321,2023-05-03,Valid,
082231553013,2023-07-03,nan,
081291554844,2023-07-01,Valid,
082296780357,2023-05-16,Valid,
082158010097,2023-05-27,Valid,
085290819237,2023-01-25,Valid,
082294184007,2023-05-24,Valid,
085255756139,2023-01-08,Valid,
085230553976,2023-02-07,nan,350000000980899
082288162151,2023-08-27,Valid,
081118209547,2023-08-08,Valid,
082219356574,2023-10-22,Valid,
081130337538,2023-01-30,Valid,350000000913655
081239396936,2023-10-16,Valid,350000000415141
081151658468,2023-02-27,Valid,
081293361720,2023-09-03,Valid,
082273213482,2023-04-09,Valid,
082256767342,2023-05-06,Valid,
082166342379,2023-03-18,Valid,
082210716404,2023-06-05,nan,
081151172071,2023-07-17,Valid,
081113386287,2023-04-21,Valid,350000000652556
081227534145,2023-02-21,Valid,350000000077061
082139970673,2023-02-08,Valid,350000000265060
081278881554,2023-09-25,nan,
085210001199,2023-10-25,Valid,
081251031532,2023-05-05,Valid,
082132890841,2023-02-26,Valid,
085257798732,2023-02-18,nan,
081254358167,2023-04-29,Valid,
082116293327,2023-01-07,Valid,
082125755547,2023-02-11,nan,
085284403510,2023-08-05,nan,
082134780398,2023-03-08,Valid,
082181308618,2023-02-28,Valid,
082284386419,2023-03-06,nan,350000000136375
085268142399,2023-05-04,Valid,
081220594399,2023-07-22,Valid,350000000064370
081126789505,2023-10-11,nan,
081160210060,2023-10-11,Valid,
085259196773,2023-05-02,nan,
081243220918,2023-06-23,nan,350000000436436
081195140110,2023-03-11,Valid,
081115559610,2023-02-19,Valid,
081220995447,2023-06-30,Valid,
081262668529,2023-02-18,nan,
082277959065,2023-08-18,nan,
082297402185,2023-09-04,Valid,350000000678902
081227080819,2023-01-18,Valid,
082249812934,2023-10-01,Valid,
082225996203,2023-10-06,Valid,
085227586971,2023-04-01,nan,
